CODE_GROUP|MX_TYPE|MX_CODE
800001|31|v17.10
800001|31|v171
800001|31|v1710
800001|31|v17.49
800001|31|v1749
800001|31|v15.82
800001|31|v1582
800001|31|649
800001|31|649
800001|31|6490
800001|31|64900
800001|31|305.1
800001|31|305.1
800001|31|3051
800001|31|30510
800001|31|649
800001|31|64900
800001|31|649.01
800001|31|64901
800001|31|649.02
800001|31|64902
800001|31|649.03
800001|31|64903
800001|31|649.04
800001|31|64904
43812014|31|305.1
43812014|31|30510
1000163|31|v163
1000163|31|v16.3
4252001|11|75571
4252001|31|36
4252001|31|36.0
4252001|31|36.00
4252001|31|36.03
4252001|31|36.03
4252001|31|36.04
4252001|31|36.04
4252001|31|36.06
4252001|31|36.06
4252001|31|36.07
4252001|31|36.07
4252001|31|36.09
4252001|31|36.09
4252001|31|36.1
4252001|31|36.1
4252001|31|36.10
4252001|31|36.10
4252001|31|36.11
4252001|31|36.11
4252001|31|36.12
4252001|31|36.12
4252001|31|36.13
4252001|31|36.13
4252001|31|36.14
4252001|31|36.14
4252001|31|36.15
4252001|31|36.15
4252001|31|36.16
4252001|31|36.16
4252001|31|36.17
4252001|31|36.17
4252001|31|36.19
4252001|31|36.19
4252001|31|360
4252001|31|3600
4252001|31|37
4252001|31|37.0
4252001|31|37.00
4252001|31|37.8
4252001|31|37.8
4252001|31|37.8
4252001|31|37.8
4252001|31|37.80
4252001|31|37.80
4252001|31|37.80
4252001|31|37.80
4252001|31|37.81
4252001|31|37.81
4252001|31|37.82
4252001|31|37.82
4252001|31|37.83
4252001|31|37.83
4252001|31|37.85
4252001|31|37.85
4252001|31|37.86
4252001|31|37.86
4252001|31|37.87
4252001|31|37.87
4252001|31|37.89
4252001|31|37.89
4252001|31|370
4252001|31|3700
4252001|31|45.01
4252001|31|45.01
4536001|31|722.1
4536001|31|722.10
4536001|31|72210
4536001|31|722.2
4536001|31|722.20
4536001|31|72220
4536001|31|722.52
4536001|31|72252
4536001|31|724.2
4536001|31|724.20
4536001|31|72420
4536001|31|724.3
4536001|31|724.30
4536001|31|72430
4536001|31|724.4
4536001|31|724.4
4536001|31|72440
4536001|31|724.5
4536001|31|724.50
4536001|31|72450
4536001|31|722.4
4536001|31|722.40
4536001|31|72240
14200|31|2440
14200|31|2441
14200|31|2442
14200|31|2443
14200|31|2448
14200|31|2449
14300|31|41001
14300|31|41011
14300|31|41021
14300|31|41031
14300|31|41041
14300|31|41051
14300|31|41061
14300|31|41071
14300|31|41081
14300|31|41091
14400|31|3310
14500|31|3310
14500|31|33111
14500|31|33119
14500|31|3312
14500|31|3317
14500|31|2900
14500|31|29010
14500|31|29011
14500|31|29012
14500|31|29013
14500|31|29020
14500|31|29021
14500|31|2903
14500|31|29040
14500|31|29041
14500|31|29042
14500|31|29043
14500|31|2940
14500|31|29410
14500|31|29411
14500|31|29420
14500|31|29421
14500|31|2948
14500|31|797
14600|31|2800
14600|31|2801
14600|31|2808
14600|31|2809
14600|31|2810
14600|31|2811
14600|31|2812
14600|31|2813
14600|31|2814
14600|31|2818
14600|31|2819
14600|31|2820
14600|31|2821
14600|31|2822
14600|31|2823
14600|31|28240
14600|31|28241
14600|31|28242
14600|31|28243
14600|31|28244
14600|31|28245
14600|31|28246
14600|31|28247
14600|31|28249
14600|31|2825
14600|31|28260
14600|31|28261
14600|31|28262
14600|31|28263
14600|31|28264
14600|31|28268
14600|31|28269
14600|31|2827
14600|31|2828
14600|31|2829
14600|31|2830
14600|31|28310
14600|31|28311
14600|31|28319
14600|31|2832
14600|31|2839
14600|31|28401
14600|31|28409
14600|31|28411
14600|31|28412
14600|31|28419
14600|31|2842
14600|31|28481
14600|31|28489
14600|31|2849
14600|31|2850
14600|31|2851
12700|31|1458
12700|31|1459
12700|31|146.0
12700|31|146.1
12700|31|146.2
12700|31|146.3
12700|31|146.4
12700|31|146.5
12700|31|146.6
12700|31|146.7
12700|31|146.8
12700|31|146.9
12700|31|1460
12700|31|1461
12700|31|1462
12700|31|1463
12700|31|1464
12700|31|1465
12700|31|1466
12700|31|1467
12700|31|1468
12700|31|1469
12700|31|147.0
12700|31|147.1
12700|31|147.2
12700|31|147.3
12700|31|147.8
12700|31|147.9
12700|31|1470
12700|31|1471
12700|31|1472
12700|31|1473
12700|31|1478
12700|31|1479
12700|31|148.0
12700|31|148.1
12700|31|148.2
12700|31|148.3
12700|31|148.8
12700|31|148.9
12700|31|1480
12700|31|1481
12700|31|1482
12700|31|1483
12700|31|1488
12700|31|1489
12700|31|149.0
12700|31|149.1
12700|31|149.8
12700|31|149.9
12700|31|1490
12700|31|1491
12700|31|1498
12700|31|1499
12700|31|150.0
12700|31|150.1
12700|31|150.2
12700|31|150.3
12700|31|150.4
12700|31|150.5
12700|31|150.8
12700|31|150.9
12700|31|20690
12700|31|20691
12700|31|20692
12700|31|207.00
12700|31|207.01
12700|31|207.02
12700|31|207.10
12700|31|207.11
12700|31|207.12
12700|31|207.20
12700|31|207.21
12700|31|207.22
12700|31|207.80
12700|31|207.81
12700|31|207.82
12700|31|20700
12700|31|20701
12700|31|20702
12700|31|20710
12700|31|20711
12700|31|20712
12700|31|20720
12700|31|20721
12700|31|20722
12700|31|20780
12700|31|20781
12700|31|20782
12700|31|208.00
12700|31|208.01
12700|31|208.02
12700|31|208.10
12700|31|208.11
12700|31|208.12
12700|31|208.20
12800|31|43820
12800|31|43821
12800|31|43822
12800|31|43830
12800|31|43831
12800|31|43832
12800|31|43840
12800|31|43841
12800|31|43842
12800|31|43850
12800|31|43851
12800|31|43852
12800|31|43853
12800|31|4386
12800|31|4387
12800|31|43881
12800|31|43882
12800|31|43883
12800|31|43884
12800|31|43885
12800|31|43889
12800|31|4389
12900|31|416.8
12900|31|416.9
12900|31|4168
12900|31|4169
12900|31|490
12900|31|491.0
12900|31|491.1
12900|31|493.81
12900|31|493.82
12900|31|493.90
12900|31|493.91
12900|31|493.92
12900|31|49300
12900|31|49301
12900|31|49302
12900|31|49310
12900|31|49311
12900|31|49312
12900|31|49320
12900|31|49321
12900|31|491.20
12900|31|491.21
12900|31|491.22
12900|31|491.8
12900|31|491.9
12900|31|4910
12900|31|4911
12900|31|49120
12900|31|49121
12900|31|49122
12900|31|4918
12900|31|4919
12900|31|492.0
12900|31|492.8
12900|31|4920
12900|31|4928
12900|31|493.00
12900|31|493.01
12900|31|493.02
12900|31|493.10
12900|31|493.11
12900|31|493.12
12900|31|493.20
12900|31|493.21
12900|31|493.22
8200020|31|183
8200020|31|18300
8200020|31|198.6
8200020|31|198.6
8200020|31|19860
8200020|31|1986
8200020|31|233.3
8200020|31|233.3
8200020|31|2333
8200020|31|23330
8200020|31|220
8200020|31|220
8200020|31|22000
8200020|31|236.2
8200020|31|236.2
8200020|31|2362
8200020|31|23620
8200020|31|239.5
8200020|31|239.5
8200020|31|2395
8200020|31|23950
8200021|31|v10.30
8200021|31|v103
8200021|31|v1030
8200021|31|v16.40
8200021|31|v16.41
8200021|31|v16.42
8200021|31|v16.43
8200021|31|v16.44
8200021|31|v16.45
8200021|31|v16.46
8200021|31|v16.47
8200021|31|v16.48
8200021|31|v16.49
8200021|31|v1641
8200021|31|v1642
8200021|31|v1643
8200021|31|v1644
8200021|31|v1645
8200021|31|v1646
8200021|31|v1647
8200021|31|v1648
8200021|31|v1649
8200021|31|v16.3
8200021|31|v16.30
8200021|31|v163
8200021|31|v1630
8300010|31|805.2
8300010|31|8052
8300010|31|80520
8300010|31|805.3
8300010|31|805.3
8300010|31|8053
8300010|31|80530
8300010|31|805.4
8300010|31|805.4
8300010|31|8054
8300010|31|80540
8300010|31|805.5
8300010|31|805.5
8300010|31|8055
8300010|31|80550
8300010|31|805.7
8300010|31|805.7
8300010|31|8057
8300010|31|80570
8300010|31|733.1
8300010|31|733.1
8300010|31|7331
8300010|31|73310
8300010|31|733.01
8300010|31|73301
8300010|31|733
8300010|31|733
8300010|31|7330
8300010|31|73300
8300010|31|733.13
8300010|31|73313
8300010|31|737.1
8300010|31|737.1
8300010|31|73710
8300010|31|7371
8300030|11|22521
8300030|11|22523
8300030|11|22524
8300030|11|22525
7900001|11|90736
7900001|41|90736
7400001|11|50405
7400001|11|50544
7400001|11|50575
7400001|11|50740
7400001|11|50750
7400001|11|52342
7400001|11|52346
7400001|11|52347
7400001|41|50405
7400001|41|50544
7400001|41|50575
7400001|41|50740
7400001|41|50750
7400001|41|52342
7400001|41|52346
7400001|41|52347
13300|31|250.02
13300|31|250.03
13300|31|250.10
13300|31|250.11
13300|31|250.12
13300|31|250.13
13300|31|250.20
13300|31|250.21
13300|31|250.22
12700|31|208.21
12700|31|208.22
12700|31|208.80
12700|31|208.81
12700|31|208.82
12700|31|208.90
12700|31|208.91
12700|31|208.92
12700|31|20800
12700|31|20801
12700|31|20802
12700|31|20810
12700|31|20811
12700|31|20812
12700|31|20820
12700|31|20821
12700|31|20822
12700|31|20880
12700|31|20881
12700|31|20882
12700|31|20890
12700|31|20891
12700|31|20892
12700|31|1884
12700|31|1885
12700|31|1886
12700|31|1887
12700|31|1888
12700|31|1889
12700|31|189.0
12700|31|189.1
12700|31|189.2
12700|31|189.3
12700|31|189.4
12700|31|189.8
12700|31|189.9
12700|31|1890
12700|31|1891
12700|31|1892
12700|31|1893
12700|31|1894
12700|31|1898
12700|31|1899
12700|31|190.0
12700|31|190.1
12700|31|190.2
12700|31|190.3
12700|31|190.4
12700|31|190.5
12700|31|190.6
12700|31|190.7
12700|31|190.8
12700|31|190.9
12700|31|1900
12800|31|4353
12800|31|4358
12800|31|4359
12800|31|436
12800|31|437.0
12800|31|437.1
12800|31|437.2
12800|31|437.3
12800|31|437.4
12800|31|437.5
12800|31|437.6
12800|31|437.7
12700|31|238.6
12700|31|2386
12800|31|362.34
12800|31|36234
12800|31|430
12800|31|431
12800|31|432.0
12800|31|432.1
12800|31|432.9
12800|31|4320
12800|31|4321
12800|31|4329
12800|31|433.00
12800|31|433.01
12800|31|433.10
12800|31|433.11
12800|31|433.20
12800|31|433.21
12800|31|433.30
12800|31|433.31
12800|31|433.80
12800|31|433.81
12800|31|433.90
12800|31|433.91
12800|31|43300
12800|31|43301
12800|31|43310
12800|31|43311
12800|31|43320
12800|31|43321
12800|31|43330
12800|31|43331
12800|31|43380
12800|31|43381
12800|31|43390
12800|31|43391
12800|31|434.00
12800|31|434.01
12800|31|434.10
12800|31|434.11
12800|31|434.90
12800|31|434.91
12800|31|43400
12800|31|43401
12800|31|43410
12800|31|43411
12800|31|43490
12800|31|43491
12800|31|435.0
12800|31|435.1
12800|31|435.2
12800|31|435.3
12800|31|435.8
12800|31|435.9
12800|31|4350
12800|31|4351
12800|31|4352
12700|31|1901
12700|31|1902
12700|31|1903
12700|31|1904
12700|31|1905
12700|31|1906
12700|31|1907
12700|31|1908
12700|31|1909
12700|31|191.0
12700|31|191.1
12700|31|191.2
12700|31|191.3
12700|31|191.4
12700|31|191.5
12700|31|191.6
12700|31|191.7
12700|31|191.8
12700|31|191.9
12700|31|1910
12700|31|1911
12700|31|1912
12700|31|1913
12700|31|1914
12700|31|1915
12700|31|1916
12700|31|1917
12700|31|1918
12700|31|1919
12700|31|192.0
12700|31|192.1
12700|31|192.2
12700|31|192.3
12700|31|192.8
12700|31|192.9
12700|31|1920
12700|31|1921
12700|31|1922
12700|31|1923
12700|31|1928
12700|31|1929
12700|31|193
12700|31|194.0
12700|31|194.1
12700|31|194.3
12700|31|194.4
12700|31|194.5
12700|31|194.6
12700|31|194.8
12700|31|194.9
12700|31|1940
12700|31|1941
12700|31|1943
12700|31|1944
12700|31|1945
12700|31|1946
12700|31|1948
12700|31|204.91
12700|31|204.92
12700|31|20400
12700|31|20401
12700|31|20402
12700|31|20410
12700|31|20411
12700|31|20412
12700|31|20420
12700|31|20421
12700|31|20422
12700|31|20480
12700|31|20481
12700|31|20482
12700|31|20490
12700|31|20491
12700|31|20492
12700|31|205.00
12700|31|205.01
12700|31|205.02
12700|31|205.10
12700|31|205.11
12700|31|205.12
12700|31|205.20
12700|31|205.21
12700|31|205.22
12700|31|205.30
12700|31|205.31
12700|31|205.32
12700|31|205.80
12700|31|205.81
12700|31|205.82
12700|31|205.90
12700|31|205.91
12700|31|205.92
12700|31|20500
12700|31|20501
12700|31|20502
12700|31|20510
12700|31|20511
12700|31|20512
12700|31|20520
12700|31|20521
12700|31|20522
12700|31|20530
12700|31|20531
12700|31|20532
12700|31|20580
12700|31|20581
12700|31|20582
12700|31|20590
12700|31|20591
12700|31|20592
12700|31|206.00
12700|31|206.01
12700|31|206.02
12700|31|206.10
12700|31|206.11
12700|31|206.12
12700|31|206.20
12700|31|206.21
12700|31|206.22
12700|31|206.80
12700|31|206.81
12700|31|206.82
12700|31|206.90
12700|31|206.91
12700|31|206.92
12700|31|20600
12700|31|20601
12700|31|20602
12700|31|20610
12700|31|20611
12700|31|20612
12700|31|20620
12700|31|20621
12700|31|20622
12700|31|20680
12700|31|20681
12700|31|20682
13400|31|3434
13400|31|3438
13400|31|3439
13400|31|344.00
13400|31|344.01
13400|31|344.02
13400|31|344.03
13400|31|344.04
13400|31|344.09
13400|31|344.1
13900|31|53131
13900|31|53140
13900|31|53141
13900|31|53150
13900|31|53151
13900|31|53160
13900|31|53161
13900|31|53170
13900|31|53171
13900|31|53190
13900|31|53191
13900|31|532.00
13900|31|532.01
13900|31|532.10
13900|31|532.11
13900|31|532.20
13900|31|532.21
13900|31|532.30
13900|31|532.31
13900|31|532.40
13900|31|532.41
13900|31|532.50
13900|31|532.51
13900|31|532.60
13900|31|532.61
13900|31|532.70
13900|31|532.71
13900|31|532.90
13900|31|532.91
13900|31|53200
13900|31|53201
13900|31|53210
13300|31|250.23
13300|31|250.30
13300|31|250.31
13300|31|250.32
13300|31|250.33
13300|31|25000
13300|31|25001
13300|31|25002
13300|31|25003
13300|31|25010
13300|31|25011
13300|31|25012
13300|31|25013
13300|31|25020
13300|31|25021
13300|31|25022
13300|31|25023
13300|31|25030
13300|31|25031
13300|31|25032
