County,CBSA Code,Type
46013,10100,B
46045,10100,B
53027,10140,B
48059,10180,A
48253,10180,A
48441,10180,A
40123,10220,B
72001,10260,B
26091,10300,B
72003,10380,A
72005,10380,A
72011,10380,A
72071,10380,A
72081,10380,A
72099,10380,A
72117,10380,A
72131,10380,A
72141,10380,A
39133,10420,A
39153,10420,A
35035,10460,B
13007,10500,A
13095,10500,A
13177,10500,A
13273,10500,A
13321,10500,A
41043,10540,A
36001,10580,A
36083,10580,A
36091,10580,A
36093,10580,A
36095,10580,A
37167,10620,B
27047,10660,B
01095,10700,B
35001,10740,A
35043,10740,A
35057,10740,A
35061,10740,A
22043,10780,A
22079,10780,A
27041,10820,B
48249,10860,B
34041,10900,A
42025,10900,A
42077,10900,A
42095,10900,A
26057,10940,B
26007,10980,B
42013,11020,A
40065,11060,B
48011,11100,A
48065,11100,A
48359,11100,A
48375,11100,A
48381,11100,A
13249,11140,B
13261,11140,B
19169,11180,A
36057,11220,B
02020,11260,A
02170,11260,A
48003,11380,B
18151,11420,B
26161,11460,A
01015,11500,A
55015,11540,A
55087,11540,A
12027,11580,B
40019,11620,B
72013,11640,A
72027,11640,A
72065,11640,A
72115,11640,A
05019,11660,B
20035,11680,B
37021,11700,A
37087,11700,A
37089,11700,A
37115,11700,A
39005,11740,B
39007,11780,B
41007,11820,B
20005,11860,B
39009,11900,B
47107,11940,B
48213,11980,B
13059,12020,A
13195,12020,A
13219,12020,A
13221,12020,A
13013,12060,A
13015,12060,A
13035,12060,A
13045,12060,A
13057,12060,A
13063,12060,A
13067,12060,A
13077,12060,A
13085,12060,A
13089,12060,A
13097,12060,A
13113,12060,A
13117,12060,A
13121,12060,A
13135,12060,A
13143,12060,A
13149,12060,A
13151,12060,A
13159,12060,A
13171,12060,A
13199,12060,A
13211,12060,A
13217,12060,A
13223,12060,A
13227,12060,A
13231,12060,A
13247,12060,A
13255,12060,A
13297,12060,A
34001,12100,A
18033,12140,B
36011,12180,B
01081,12220,A
13033,12260,A
13073,12260,A
13181,12260,A
13189,12260,A
13245,12260,A
45003,12260,A
45037,12260,A
23011,12300,B
27099,12380,B
48021,12420,A
48055,12420,A
48209,12420,A
48453,12420,A
48491,12420,A
13087,12460,B
06029,12540,A
24003,12580,A
24005,12580,A
24013,12580,A
24025,12580,A
24027,12580,A
24035,12580,A
24510,12580,A
23019,12620,A
55111,12660,B
21179,12680,B
25001,12700,A
50023,12740,B
40147,12780,B
22067,12820,B
36037,12860,B
05063,12900,B
22005,12940,A
22033,12940,A
22037,12940,A
22047,12940,A
22063,12940,A
22077,12940,A
22091,12940,A
22121,12940,A
22125,12940,A
26025,12980,A
26017,13020,A
48321,13060,B
31067,13100,B
48199,13140,A
48245,13140,A
48351,13140,A
48361,13140,A
55027,13180,B
54019,13220,A
54081,13220,A
18093,13260,B
48025,13300,B
39091,13340,B
53073,13380,A
27007,13420,B
41017,13460,A
45069,13500,B
50003,13540,B
33007,13620,B
50009,13620,B
26107,13660,B
48173,13700,B
48227,13700,B
51051,13720,B
51195,13720,B
51720,13720,B
30009,13740,A
30037,13740,A
30111,13740,A
36007,13780,A
36107,13780,A
01007,13820,A
01009,13820,A
01021,13820,A
01073,13820,A
01115,13820,A
01117,13820,A
01127,13820,A
38015,13900,A
38059,13900,A
38065,13900,A
38085,13900,A
16011,13940,B
51063,13980,A
51071,13980,A
51121,13980,A
51155,13980,A
51750,13980,A
17039,14010,A
17113,14010,A
18105,14020,A
18119,14020,A
42037,14100,A
42093,14100,A
51185,14140,B
54055,14140,B
