MX_CODE|MX_CODE_TYPE|LEVEL1_CODE|LEVEL1_DESC|LEVEL2_CODE|LEVEL2_DESC|GENDER
001.0|31|3040|general medicine|30190|infectious disease|
001.1|31|3040|general medicine|30190|infectious disease|
001.9|31|3040|general medicine|30190|infectious disease|
0010|31|3040|general medicine|30190|infectious disease|
0011|31|3040|general medicine|30190|infectious disease|
0019|31|3040|general medicine|30190|infectious disease|
002.0|31|3040|general medicine|30190|infectious disease|
002.1|31|3040|general medicine|30190|infectious disease|
002.2|31|3040|general medicine|30190|infectious disease|
002.3|31|3040|general medicine|30190|infectious disease|
002.9|31|3040|general medicine|30190|infectious disease|
0020|31|3040|general medicine|30190|infectious disease|
0021|31|3040|general medicine|30190|infectious disease|
0022|31|3040|general medicine|30190|infectious disease|
0023|31|3040|general medicine|30190|infectious disease|
0029|31|3040|general medicine|30190|infectious disease|
003.0|31|3040|general medicine|30190|infectious disease|
003.1|31|3040|general medicine|30190|infectious disease|
003.20|31|3040|general medicine|30190|infectious disease|
003.21|31|3090|neuroscience|30340|neuro - other|
003.22|31|3040|general medicine|30220|pulmonary / thoracic|
003.23|31|3130|orthopedics|30550|arthritis|
003.24|31|3130|orthopedics|30550|arthritis|
003.29|31|3040|general medicine|30190|infectious disease|
003.8|31|3040|general medicine|30190|infectious disease|
003.9|31|3040|general medicine|30190|infectious disease|
0030|31|3040|general medicine|30190|infectious disease|
0031|31|3040|general medicine|30190|infectious disease|
00320|31|3040|general medicine|30190|infectious disease|
00321|31|3090|neuroscience|30340|neuro - other|
00322|31|3040|general medicine|30220|pulmonary / thoracic|
00323|31|3130|orthopedics|30550|arthritis|
00324|31|3130|orthopedics|30550|arthritis|
00329|31|3040|general medicine|30190|infectious disease|
0038|31|3040|general medicine|30190|infectious disease|
0039|31|3040|general medicine|30190|infectious disease|
004.0|31|3040|general medicine|30190|infectious disease|
004.1|31|3040|general medicine|30190|infectious disease|
004.2|31|3040|general medicine|30190|infectious disease|
004.3|31|3040|general medicine|30190|infectious disease|
004.8|31|3040|general medicine|30190|infectious disease|
004.9|31|3040|general medicine|30190|infectious disease|
0040|31|3040|general medicine|30190|infectious disease|
0041|31|3040|general medicine|30190|infectious disease|
0042|31|3040|general medicine|30190|infectious disease|
0043|31|3040|general medicine|30190|infectious disease|
0048|31|3040|general medicine|30190|infectious disease|
0049|31|3040|general medicine|30190|infectious disease|
005.0|31|3040|general medicine|30190|infectious disease|
005.1|31|3040|general medicine|30190|infectious disease|
005.2|31|3040|general medicine|30190|infectious disease|
005.3|31|3040|general medicine|30190|infectious disease|
005.4|31|3040|general medicine|30190|infectious disease|
005.81|31|3040|general medicine|30190|infectious disease|
005.89|31|3040|general medicine|30190|infectious disease|
005.9|31|3040|general medicine|30190|infectious disease|
0050|31|3040|general medicine|30190|infectious disease|
0051|31|3040|general medicine|30190|infectious disease|
0052|31|3040|general medicine|30190|infectious disease|
0053|31|3040|general medicine|30190|infectious disease|
0054|31|3040|general medicine|30190|infectious disease|
00581|31|3040|general medicine|30190|infectious disease|
00589|31|3040|general medicine|30190|infectious disease|
0059|31|3040|general medicine|30190|infectious disease|
006.0|31|3040|general medicine|30190|infectious disease|
006.1|31|3040|general medicine|30190|infectious disease|
006.2|31|3040|general medicine|30190|infectious disease|
006.3|31|3040|general medicine|30190|infectious disease|
006.4|31|3040|general medicine|30190|infectious disease|
006.5|31|3040|general medicine|30190|infectious disease|
006.6|31|3040|general medicine|30190|infectious disease|
006.8|31|3040|general medicine|30190|infectious disease|
006.9|31|3040|general medicine|30190|infectious disease|
0060|31|3040|general medicine|30190|infectious disease|
0061|31|3040|general medicine|30190|infectious disease|
0062|31|3040|general medicine|30190|infectious disease|
0063|31|3040|general medicine|30190|infectious disease|
0064|31|3040|general medicine|30190|infectious disease|
0065|31|3040|general medicine|30190|infectious disease|
0066|31|3040|general medicine|30190|infectious disease|
0068|31|3040|general medicine|30190|infectious disease|
0069|31|3040|general medicine|30190|infectious disease|
007.0|31|3040|general medicine|30190|infectious disease|
007.1|31|3040|general medicine|30190|infectious disease|
007.2|31|3040|general medicine|30190|infectious disease|
007.3|31|3040|general medicine|30190|infectious disease|
007.4|31|3040|general medicine|30190|infectious disease|
007.5|31|3040|general medicine|30190|infectious disease|
007.8|31|3040|general medicine|30190|infectious disease|
007.9|31|3040|general medicine|30190|infectious disease|
0070|31|3040|general medicine|30190|infectious disease|
0071|31|3040|general medicine|30190|infectious disease|
0072|31|3040|general medicine|30190|infectious disease|
0073|31|3040|general medicine|30190|infectious disease|
0074|31|3040|general medicine|30190|infectious disease|
0075|31|3040|general medicine|30190|infectious disease|
0078|31|3040|general medicine|30190|infectious disease|
0079|31|3040|general medicine|30190|infectious disease|
008.00|31|3040|general medicine|30190|infectious disease|
008.01|31|3040|general medicine|30190|infectious disease|
008.02|31|3040|general medicine|30190|infectious disease|
008.03|31|3040|general medicine|30190|infectious disease|
008.04|31|3040|general medicine|30190|infectious disease|
008.09|31|3040|general medicine|30190|infectious disease|
008.1|31|3040|general medicine|30190|infectious disease|
008.2|31|3040|general medicine|30190|infectious disease|
008.3|31|3040|general medicine|30190|infectious disease|
008.41|31|3040|general medicine|30190|infectious disease|
008.42|31|3040|general medicine|30190|infectious disease|
008.43|31|3040|general medicine|30190|infectious disease|
008.44|31|3040|general medicine|30190|infectious disease|
008.45|31|3040|general medicine|30190|infectious disease|
008.46|31|3040|general medicine|30190|infectious disease|
008.47|31|3040|general medicine|30190|infectious disease|
008.49|31|3040|general medicine|30190|infectious disease|
008.5|31|3040|general medicine|30190|infectious disease|
008.61|31|3040|general medicine|30190|infectious disease|
008.62|31|3040|general medicine|30190|infectious disease|
008.63|31|3040|general medicine|30190|infectious disease|
008.64|31|3040|general medicine|30190|infectious disease|
008.65|31|3040|general medicine|30190|infectious disease|
008.66|31|3040|general medicine|30190|infectious disease|
008.67|31|3040|general medicine|30190|infectious disease|
008.69|31|3040|general medicine|30190|infectious disease|
008.8|31|3040|general medicine|30190|infectious disease|
00800|31|3040|general medicine|30190|infectious disease|
00801|31|3040|general medicine|30190|infectious disease|
00802|31|3040|general medicine|30190|infectious disease|
00803|31|3040|general medicine|30190|infectious disease|
00804|31|3040|general medicine|30190|infectious disease|
00809|31|3040|general medicine|30190|infectious disease|
0081|31|3040|general medicine|30190|infectious disease|
0082|31|3040|general medicine|30190|infectious disease|
0083|31|3040|general medicine|30190|infectious disease|
00841|31|3040|general medicine|30190|infectious disease|
00842|31|3040|general medicine|30190|infectious disease|
00843|31|3040|general medicine|30190|infectious disease|
00844|31|3040|general medicine|30190|infectious disease|
00845|31|3040|general medicine|30190|infectious disease|
00846|31|3040|general medicine|30190|infectious disease|
00847|31|3040|general medicine|30190|infectious disease|
00849|31|3040|general medicine|30190|infectious disease|
0085|31|3040|general medicine|30190|infectious disease|
00861|31|3040|general medicine|30190|infectious disease|
00862|31|3040|general medicine|30190|infectious disease|
00863|31|3040|general medicine|30190|infectious disease|
00864|31|3040|general medicine|30190|infectious disease|
00865|31|3040|general medicine|30190|infectious disease|
