MX_CODE|LEVEL1_CODE|LEVEL1_DESC|LEVEL2_CODE|LEVEL2_DESC|LEVEL3_CODE|LEVEL3_DESC|GENDER
572|1060|general surgery|10470|surgery trauma (general surgical)|103016|572 - skin debridement w/o cc/mcc|
864|1050|general medicine|10200|infectious disease|101500|864 - fever of unknown origin|
865|1050|general medicine|10200|infectious disease|101510|865 - viral illness w mcc|
866|1050|general medicine|10200|infectious disease|101520|866 - viral illness w/o mcc|
867|1050|general medicine|10200|infectious disease|101530|867 - other infectious & parasitic diseases diagnoses w mcc|
868|1050|general medicine|10200|infectious disease|101540|868 - other infectious & parasitic diseases diagnoses w cc|
869|1050|general medicine|10200|infectious disease|101550|869 - other infectious & parasitic diseases diagnoses w/o cc/mcc|
870|1050|general medicine|10200|infectious disease|101560|870 - septicemia w mv 96+ hours|
811|1050|general medicine|10210|medical oncology|101570|811 - red blood cell disorders w mcc|
812|1050|general medicine|10210|medical oncology|101580|812 - red blood cell disorders w/o mcc|
813|1050|general medicine|10210|medical oncology|101590|813 - coagulation disorders|
814|1050|general medicine|10210|medical oncology|101600|814 - reticuloendothelial & immunity disorders w mcc|
815|1050|general medicine|10210|medical oncology|101610|815 - reticuloendothelial & immunity disorders w cc|
816|1050|general medicine|10210|medical oncology|101620|816 - reticuloendothelial & immunity disorders w/o cc/mcc|
207|1050|general medicine|10220|other general medicine|101630|207 - respiratory system diagnosis w ventilator support 96+ hours|
208|1050|general medicine|10220|other general medicine|101640|208 - respiratory system diagnosis w ventilator support <96 hours|
871|1050|general medicine|10220|other general medicine|101650|871 - septicemia w/o mv 96+ hours w mcc|
872|1050|general medicine|10220|other general medicine|101660|872 - septicemia w/o mv 96+ hours w/o mcc|
915|1050|general medicine|10220|other general medicine|101670|915 - allergic reactions w mcc|
916|1050|general medicine|10220|other general medicine|101680|916 - allergic reactions w/o mcc|
919|1050|general medicine|10220|other general medicine|101690|919 - complications of treatment w mcc|
920|1050|general medicine|10220|other general medicine|101700|920 - complications of treatment w cc|
921|1050|general medicine|10220|other general medicine|101710|921 - complications of treatment w/o cc/mcc|
922|1050|general medicine|10220|other general medicine|101720|922 - other injury, poisoning & toxic effect diag w mcc|
923|1050|general medicine|10220|other general medicine|101730|923 - other injury, poisoning & toxic effect diag w/o mcc|
947|1050|general medicine|10220|other general medicine|101740|947 - signs & symptoms w mcc|
948|1050|general medicine|10220|other general medicine|101750|948 - signs & symptoms w/o mcc|
949|1050|general medicine|10220|other general medicine|101760|949 - aftercare w cc/mcc|
950|1050|general medicine|10220|other general medicine|101770|950 - aftercare w/o cc/mcc|
951|1050|general medicine|10220|other general medicine|101780|951 - other factors influencing health status|
945|1050|general medicine|10230|rehabilitation|101790|945 - rehabilitation w cc/mcc|
946|1050|general medicine|10230|rehabilitation|101800|946 - rehabilitation w/o cc/mcc|
604|1060|general surgery|10240|body injuries|101810|604 - trauma to the skin, subcut tiss & breast w mcc|
605|1060|general surgery|10240|body injuries|101820|605 - trauma to the skin, subcut tiss & breast w/o mcc|
913|1060|general surgery|10240|body injuries|101830|913 - traumatic injury w mcc|
914|1060|general surgery|10240|body injuries|101840|914 - traumatic injury w/o mcc|
963|1060|general surgery|10240|body injuries|101850|963 - other multiple significant trauma w mcc|
964|1060|general surgery|10240|body injuries|101860|964 - other multiple significant trauma w cc|
965|1060|general surgery|10240|body injuries|101870|965 - other multiple significant trauma w/o cc/mcc|
614|1060|general surgery|10250|brain|101880|614 - adrenal & pituitary procedures w cc/mcc|
615|1060|general surgery|10250|brain|101890|615 - adrenal & pituitary procedures w/o cc/mcc|
927|1060|general surgery|10260|burns|101900|927 - extensive burns or full thickness burns w mv 96+ hrs w skin graft|
928|1060|general surgery|10260|burns|101910|928 - full thickness burn w skin graft or inhal inj w cc/mcc|
929|1060|general surgery|10260|burns|101920|929 - full thickness burn w skin graft or inhal inj w/o cc/mcc|
625|1060|general surgery|10270|head and neck surgery|101930|625 - thyroid, parathyroid & thyroglossal procedures w mcc|
626|1060|general surgery|10270|head and neck surgery|101940|626 - thyroid, parathyroid & thyroglossal procedures w cc|
627|1060|general surgery|10270|head and neck surgery|101950|627 - thyroid, parathyroid & thyroglossal procedures w/o cc/mcc|
592|1060|general surgery|10280|medicine dermatology|101960|592 - skin ulcers w mcc|
593|1060|general surgery|10280|medicine dermatology|101970|593 - skin ulcers w cc|
594|1060|general surgery|10280|medicine dermatology|101980|594 - skin ulcers w/o cc/mcc|
600|1060|general surgery|10290|medicine other general medicine|101990|600 - non-malignant breast disorders w cc/mcc|
601|1060|general surgery|10290|medicine other general medicine|102000|601 - non-malignant breast disorders w/o cc/mcc|
137|1060|general surgery|10300|oral and maxillofacial surgery|102010|137 - mouth procedures w cc/mcc|
138|1060|general surgery|10300|oral and maxillofacial surgery|102020|138 - mouth procedures w/o cc/mcc|
157|1060|general surgery|10300|oral and maxillofacial surgery|102030|157 - dental & oral diseases w mcc|
158|1060|general surgery|10300|oral and maxillofacial surgery|102040|158 - dental & oral diseases w cc|
159|1060|general surgery|10300|oral and maxillofacial surgery|102050|159 - dental & oral diseases w/o cc/mcc|
876|1060|general surgery|10310|other general surgery|102060|876 - o.r. procedure w principal diagnoses of mental illness|
984|1060|general surgery|10320|prostate|102070|984 - prostatic o.r. procedure unrelated to principal diagnosis w mcc|
985|1060|general surgery|10320|prostate|102080|985 - prostatic o.r. procedure unrelated to principal diagnosis w cc|
986|1060|general surgery|10320|prostate|102090|986 - prostatic o.r. procedure unrelated to principal diagnosis w/o cc/mcc|
335|1060|general surgery|10330|surgery adhesions|102100|335 - peritoneal adhesiolysis w mcc|
336|1060|general surgery|10330|surgery adhesions|102110|336 - peritoneal adhesiolysis w cc|
337|1060|general surgery|10330|surgery adhesions|102120|337 - peritoneal adhesiolysis w/o cc/mcc|
338|1060|general surgery|10340|surgery appendectomy|102130|338 - appendectomy w complicated principal diag w mcc|
339|1060|general surgery|10340|surgery appendectomy|102140|339 - appendectomy w complicated principal diag w cc|
340|1060|general surgery|10340|surgery appendectomy|102150|340 - appendectomy w complicated principal diag w/o cc/mcc|
341|1060|general surgery|10340|surgery appendectomy|102160|341 - appendectomy w/o complicated principal diag w mcc|
342|1060|general surgery|10340|surgery appendectomy|102170|342 - appendectomy w/o complicated principal diag w cc|
343|1060|general surgery|10340|surgery appendectomy|102180|343 - appendectomy w/o complicated principal diag w/o cc/mcc|
619|1060|general surgery|10350|surgery bariatric/obesity|102190|619 - o.r. procedures for obesity w mcc|
620|1060|general surgery|10350|surgery bariatric/obesity|102200|620 - o.r. procedures for obesity w cc|
621|1060|general surgery|10350|surgery bariatric/obesity|102210|621 - o.r. procedures for obesity w/o cc/mcc|
581|1060|general surgery|10360|surgery breast|102220|581 - other skin, subcut tiss & breast proc w/o cc/mcc|
411|1060|general surgery|10370|surgery cholecystectomy|102230|411 - cholecystectomy w c.d.e. w mcc|
412|1060|general surgery|10370|surgery cholecystectomy|102240|412 - cholecystectomy w c.d.e. w cc|
413|1060|general surgery|10370|surgery cholecystectomy|102250|413 - cholecystectomy w c.d.e. w/o cc/mcc|
414|1060|general surgery|10370|surgery cholecystectomy|102260|414 - cholecystectomy except by laparoscope w/o c.d.e. w mcc|
415|1060|general surgery|10370|surgery cholecystectomy|102270|415 - cholecystectomy except by laparoscope w/o c.d.e. w cc|
416|1060|general surgery|10370|surgery cholecystectomy|102280|416 - cholecystectomy except by laparoscope w/o c.d.e. w/o cc/mcc|
417|1060|general surgery|10370|surgery cholecystectomy|102290|417 - laparoscopic cholecystectomy w/o c.d.e. w mcc|
418|1060|general surgery|10370|surgery cholecystectomy|102300|418 - laparoscopic cholecystectomy w/o c.d.e. w cc|
419|1060|general surgery|10370|surgery cholecystectomy|102310|419 - laparoscopic cholecystectomy w/o c.d.e. w/o cc/mcc|
329|1060|general surgery|10380|surgery colorectal/lower gi|102320|329 - major small & large bowel procedures w mcc|
330|1060|general surgery|10380|surgery colorectal/lower gi|102330|330 - major small & large bowel procedures w cc|
331|1060|general surgery|10380|surgery colorectal/lower gi|102340|331 - major small & large bowel procedures w/o cc/mcc|
332|1060|general surgery|10380|surgery colorectal/lower gi|102350|332 - rectal resection w mcc|
333|1060|general surgery|10380|surgery colorectal/lower gi|102360|333 - rectal resection w cc|
334|1060|general surgery|10380|surgery colorectal/lower gi|102370|334 - rectal resection w/o cc/mcc|
344|1060|general surgery|10380|surgery colorectal/lower gi|102380|344 - minor small & large bowel procedures w mcc|
345|1060|general surgery|10380|surgery colorectal/lower gi|102390|345 - minor small & large bowel procedures w cc|
346|1060|general surgery|10380|surgery colorectal/lower gi|102400|346 - minor small & large bowel procedures w/o cc/mcc|
347|1060|general surgery|10380|surgery colorectal/lower gi|102410|347 - anal & stomal procedures w mcc|
348|1060|general surgery|10380|surgery colorectal/lower gi|102420|348 - anal & stomal procedures w cc|
349|1060|general surgery|10380|surgery colorectal/lower gi|102430|349 - anal & stomal procedures w/o cc/mcc|
616|1060|general surgery|10390|surgery endocrine|102440|616 - amputat of lower limb for endocrine,nutrit,& metabol dis w mcc|
617|1060|general surgery|10390|surgery endocrine|102450|617 - amputat of lower limb for endocrine,nutrit,& metabol dis w cc|
618|1060|general surgery|10390|surgery endocrine|102460|618 - amputat of lower limb for endocrine,nutrit,& metabol dis w/o cc/mcc|
622|1060|general surgery|10390|surgery endocrine|102470|622 - skin grafts & wound debrid for endoc, nutrit & metab dis w mcc|
227|1010|cardiology|10040|cardiac electrophysiology|100270|227 - cardiac defibrillator implant w/o cardiac cath w/o mcc|
242|1010|cardiology|10040|cardiac electrophysiology|100280|242 - permanent cardiac pacemaker implant w mcc|
243|1010|cardiology|10040|cardiac electrophysiology|100290|243 - permanent cardiac pacemaker implant w cc|
244|1010|cardiology|10040|cardiac electrophysiology|100300|244 - permanent cardiac pacemaker implant w/o cc/mcc|
245|1010|cardiology|10040|cardiac electrophysiology|100310|245 - aicd lead & generator procedures|
258|1010|cardiology|10040|cardiac electrophysiology|100320|258 - cardiac pacemaker device replacement w mcc|
259|1010|cardiology|10040|cardiac electrophysiology|100330|259 - cardiac pacemaker device replacement w/o mcc|
260|1010|cardiology|10040|cardiac electrophysiology|100340|260 - cardiac pacemaker revision except device replacement w mcc|
261|1010|cardiology|10040|cardiac electrophysiology|100350|261 - cardiac pacemaker revision except device replacement w cc|
262|1010|cardiology|10040|cardiac electrophysiology|100360|262 - cardiac pacemaker revision except device replacement w/o cc/mcc|
280|1010|cardiology|10050|medical cardiology|100370|280 - acute myocardial infarction, discharged alive w mcc|
281|1010|cardiology|10050|medical cardiology|100380|281 - acute myocardial infarction, discharged alive w cc|
282|1010|cardiology|10050|medical cardiology|100390|282 - acute myocardial infarction, discharged alive w/o cc/mcc |
283|1010|cardiology|10050|medical cardiology|100400|283 - acute myocardial infarction, expired w mcc|
284|1010|cardiology|10050|medical cardiology|100410|284 - acute myocardial infarction, expired w cc|
285|1010|cardiology|10050|medical cardiology|100420|285 - acute myocardial infarction, expired w/o cc/mcc|
286|1010|cardiology|10050|medical cardiology|100430|286 - circulatory disorders except ami, w card cath w mcc|
287|1010|cardiology|10050|medical cardiology|100440|287 - circulatory disorders except ami, w card cath w/o mcc|
288|1010|cardiology|10050|medical cardiology|100450|288 - acute & subacute endocarditis w mcc|
289|1010|cardiology|10050|medical cardiology|100460|289 - acute & subacute endocarditis w cc|
290|1010|cardiology|10050|medical cardiology|100470|290 - acute & subacute endocarditis w/o cc/mcc|
291|1010|cardiology|10050|medical cardiology|100480|291 - heart failure & shock w mcc|
292|1010|cardiology|10050|medical cardiology|100490|292 - heart failure & shock w cc|
293|1010|cardiology|10050|medical cardiology|100500|293 - heart failure & shock w/o cc/mcc|
296|1010|cardiology|10050|medical cardiology|100510|296 - cardiac arrest, unexplained w mcc|
297|1010|cardiology|10050|medical cardiology|100520|297 - cardiac arrest, unexplained w cc|
298|1010|cardiology|10050|medical cardiology|100530|298 - cardiac arrest, unexplained w/o cc/mcc|
302|1010|cardiology|10050|medical cardiology|100540|302 - atherosclerosis w mcc|
880|1000|behavioral medicine|10000|psychiatry|100000|880 - acute adjustment reaction & psychosocial dysfunction|
881|1000|behavioral medicine|10000|psychiatry|100010|881 - depressive neuroses|
882|1000|behavioral medicine|10000|psychiatry|100020|882 - neuroses except depressive|
883|1000|behavioral medicine|10000|psychiatry|100030|883 - disorders of personality & impulse control|
884|1000|behavioral medicine|10000|psychiatry|100040|884 - organic disturbances & mental retardation|
885|1000|behavioral medicine|10000|psychiatry|100050|885 - psychoses|
886|1000|behavioral medicine|10000|psychiatry|100060|886 - behavioral & developmental disorders|
887|1000|behavioral medicine|10000|psychiatry|100070|887 - other mental disorder diagnoses|
894|1000|behavioral medicine|10000|psychiatry|100080|894 - alcohol/drug abuse or dependence, left ama|
895|1000|behavioral medicine|10010|substance abuse|100090|895 - alcohol/drug abuse or dependence w rehabilitation therapy|
896|1000|behavioral medicine|10010|substance abuse|100100|896 - alcohol/drug abuse or dependence w/o rehabilitation therapy w mcc|
897|1000|behavioral medicine|10010|substance abuse|100110|897 - alcohol/drug abuse or dependence w/o rehabilitation therapy w/o mcc|
917|1000|behavioral medicine|10010|substance abuse|100120|917 - poisoning & toxic effects of drugs w mcc|
918|1000|behavioral medicine|10010|substance abuse|100130|918 - poisoning & toxic effects of drugs w/o mcc|
237|1010|cardiology|10020|arterial disease|100140|237 - major cardiovascular procedures w mcc|
238|1010|cardiology|10020|arterial disease|100150|238 - major cardiovascular procedures w/o mcc|
246|1010|cardiology|10030|cardiac cath|100160|246 - percutaneous cardiovascular proc w drug-eluting stent w mcc|
247|1010|cardiology|10030|cardiac cath|100170|247 - percutaneous cardiovascular proc w drug-eluting stent w/o mcc|
248|1010|cardiology|10030|cardiac cath|100180|248 - percutaneous cardiovasc proc w non-drug-eluting stent w mcc|
249|1010|cardiology|10030|cardiac cath|100190|249 - percutaneous cardiovasc proc w non-drug-eluting stent w/o mcc|
250|1010|cardiology|10030|cardiac cath|100200|250 - perc cardiovasc proc w/o coronary artery stent or ami w mcc|
251|1010|cardiology|10030|cardiac cath|100210|251 - perc cardiovasc proc w/o coronary artery stent or ami w/o mcc|
222|1010|cardiology|10040|cardiac electrophysiology|100220|222 - cardiac defib implant w cardiac cath w ami/hf/shock w mcc|
223|1010|cardiology|10040|cardiac electrophysiology|100230|223 - cardiac defib implant w cardiac cath w ami/hf/shock w/o mcc|
224|1010|cardiology|10040|cardiac electrophysiology|100240|224 - cardiac defib implant w cardiac cath w/o ami/hf/shock w mcc|
225|1010|cardiology|10040|cardiac electrophysiology|100250|225 - cardiac defib implant w cardiac cath w/o ami/hf/shock w/o mcc|
226|1010|cardiology|10040|cardiac electrophysiology|100260|226 - cardiac defibrillator implant w/o cardiac cath w mcc|
303|1010|cardiology|10050|medical cardiology|100550|303 - atherosclerosis w/o mcc|
304|1010|cardiology|10050|medical cardiology|100560|304 - hypertension w mcc|
305|1010|cardiology|10050|medical cardiology|100570|305 - hypertension w/o mcc|
306|1010|cardiology|10050|medical cardiology|100580|306 - cardiac congenital & valvular disorders w mcc|
307|1010|cardiology|10050|medical cardiology|100590|307 - cardiac congenital & valvular disorders w/o mcc|
308|1010|cardiology|10050|medical cardiology|100600|308 - cardiac arrhythmia & conduction disorders w mcc|
309|1010|cardiology|10050|medical cardiology|100610|309 - cardiac arrhythmia & conduction disorders w cc|
310|1010|cardiology|10050|medical cardiology|100620|310 - cardiac arrhythmia & conduction disorders w/o cc/mcc|
311|1010|cardiology|10050|medical cardiology|100630|311 - angina pectoris|
312|1010|cardiology|10050|medical cardiology|100640|312 - syncope & collapse|
313|1010|cardiology|10050|medical cardiology|100650|313 - chest pain|
314|1010|cardiology|10050|medical cardiology|100660|314 - other circulatory system diagnoses w mcc|
315|1010|cardiology|10050|medical cardiology|100670|315 - other circulatory system diagnoses w cc|
316|1010|cardiology|10050|medical cardiology|100680|316 - other circulatory system diagnoses w/o cc/mcc|
299|1010|cardiology|10060|other vascular|100690|299 - peripheral vascular disorders w mcc|
300|1010|cardiology|10060|other vascular|100700|300 - peripheral vascular disorders w cc|
301|1010|cardiology|10060|other vascular|100710|301 - peripheral vascular disorders w/o cc/mcc|
294|1010|cardiology|10070|venous disease|100720|294 - deep vein thrombophlebitis w cc/mcc|
295|1010|cardiology|10070|venous disease|100730|295 - deep vein thrombophlebitis w/o cc/mcc|
637|1020|endocrinology|10080|medicine endocrinology|100740|637 - diabetes w mcc|
638|1020|endocrinology|10080|medicine endocrinology|100750|638 - diabetes w cc|
639|1020|endocrinology|10080|medicine endocrinology|100760|639 - diabetes w/o cc/mcc|
640|1020|endocrinology|10080|medicine endocrinology|100770|640 - nutritional & misc metabolic disorders w mcc|
641|1020|endocrinology|10080|medicine endocrinology|100780|641 - nutritional & misc metabolic disorders w/o mcc|
642|1020|endocrinology|10080|medicine endocrinology|100790|642 - inborn errors of metabolism|
643|1020|endocrinology|10080|medicine endocrinology|100800|643 - endocrine disorders w mcc|
644|1020|endocrinology|10080|medicine endocrinology|100810|644 - endocrine disorders w cc|
645|1020|endocrinology|10080|medicine endocrinology|100820|645 - endocrine disorders w/o cc/mcc|
131|1030|ent|10090|facial plastic surgery|100830|131 - cranial/facial procedures w cc/mcc|
133|1030|ent|10090|facial plastic surgery|100840|133 - other ear, nose, mouth & throat o.r. procedures w cc/mcc|
129|1030|ent|10100|head and neck surgery|100850|129 - major head & neck procedures w cc/mcc or major device|
130|1030|ent|10100|head and neck surgery|100860|130 - major head & neck procedures w/o cc/mcc|
132|1030|ent|10110|laryngology|100870|132 - cranial/facial procedures w/o cc/mcc|
134|1030|ent|10110|laryngology|100880|134 - other ear, nose, mouth & throat o.r. procedures w/o cc/mcc|
152|1030|ent|10110|laryngology|100890|152 - otitis media & uri w mcc|
155|1030|ent|10110|laryngology|100900|155 - nasal trauma & deformity w cc|
156|1030|ent|10110|laryngology|100910|156 - nasal trauma & deformity w/o cc/mcc|
139|1030|ent|10120|oral and maxillofacial surgery|100920|139 - salivary gland procedures|
149|1030|ent|10130|otology|100930|149 - dysequilibrium|
153|1030|ent|10130|otology|100940|153 - otitis media & uri w/o mcc|
135|1030|ent|10140|rhinology|100950|135 - sinus & mastoid procedures w cc/mcc|
136|1030|ent|10140|rhinology|100960|136 - sinus & mastoid procedures w/o cc/mcc|
150|1030|ent|10140|rhinology|100970|150 - epistaxis w mcc|
151|1030|ent|10140|rhinology|100980|151 - epistaxis w/o mcc|
154|1030|ent|10140|rhinology|100990|154 - nasal trauma & deformity w mcc|
368|1040|gastroenterology|10150|medicine gastroenterology|101000|368 - major esophageal disorders w mcc|
369|1040|gastroenterology|10150|medicine gastroenterology|101010|369 - major esophageal disorders w cc|
370|1040|gastroenterology|10150|medicine gastroenterology|101020|370 - major esophageal disorders w/o cc/mcc|
371|1040|gastroenterology|10150|medicine gastroenterology|101030|371 - major gastrointestinal disorders & peritoneal infections w mcc|
372|1040|gastroenterology|10150|medicine gastroenterology|101040|372 - major gastrointestinal disorders & peritoneal infections w cc|
373|1040|gastroenterology|10150|medicine gastroenterology|101050|373 - major gastrointestinal disorders & peritoneal infections w/o cc/mcc|
377|1040|gastroenterology|10150|medicine gastroenterology|101060|377 - g.i. hemorrhage w mcc|
378|1040|gastroenterology|10150|medicine gastroenterology|101070|378 - g.i. hemorrhage w cc|
379|1040|gastroenterology|10150|medicine gastroenterology|101080|379 - g.i. hemorrhage w/o cc/mcc|
380|1040|gastroenterology|10150|medicine gastroenterology|101090|380 - complicated peptic ulcer w mcc|
381|1040|gastroenterology|10150|medicine gastroenterology|101100|381 - complicated peptic ulcer w cc|
382|1040|gastroenterology|10150|medicine gastroenterology|101110|382 - complicated peptic ulcer w/o cc/mcc|
383|1040|gastroenterology|10150|medicine gastroenterology|101120|383 - uncomplicated peptic ulcer w mcc|
384|1040|gastroenterology|10150|medicine gastroenterology|101130|384 - uncomplicated peptic ulcer w/o mcc|
385|1040|gastroenterology|10150|medicine gastroenterology|101140|385 - inflammatory bowel disease w mcc|
386|1040|gastroenterology|10150|medicine gastroenterology|101150|386 - inflammatory bowel disease w cc|
387|1040|gastroenterology|10150|medicine gastroenterology|101160|387 - inflammatory bowel disease w/o cc/mcc|
388|1040|gastroenterology|10150|medicine gastroenterology|101170|388 - g.i. obstruction w mcc|
389|1040|gastroenterology|10150|medicine gastroenterology|101180|389 - g.i. obstruction w cc|
390|1040|gastroenterology|10150|medicine gastroenterology|101190|390 - g.i. obstruction w/o cc/mcc|
391|1040|gastroenterology|10150|medicine gastroenterology|101200|391 - esophagitis, gastroent & misc digest disorders w mcc|
