MX_CODE|MX_CODE_TYPE|LEVEL1_CODE|LEVEL1_DESC|LEVEL2_CODE|LEVEL2_DESC|LEVEL3_CODE|LEVEL3_DESC|GENDER
00.01|41|4230|vascular surgery|41670|medical vascular|532000|vascular ultrasound study|
00.02|41|4000|cardiology|40020|medical cardiology|403800|electrocardiogram|
00.03|41|4230|vascular surgery|41670|medical vascular|532000|vascular ultrasound study|
00.09|41|4230|vascular surgery|41670|medical vascular|532000|vascular ultrasound study|
00.10|41|4120|oncology|41030|radiation therapy|462900|brachytherapy treatment - high dose rate (hdr)|
00.11|41|4150|other|41310|infusion/transfusion|498900|therapeutic infusion/injection|
00.12|41|4150|other|41310|infusion/transfusion|498900|therapeutic infusion/injection|
00.13|41|4150|other|41310|infusion/transfusion|498900|therapeutic infusion/injection|
00.14|41|4150|other|41310|infusion/transfusion|498900|therapeutic infusion/injection|
00.15|41|4150|other|41310|infusion/transfusion|498900|therapeutic infusion/injection|
00.17|41|4150|other|41310|infusion/transfusion|498900|therapeutic infusion/injection|
00.21|41|4230|vascular surgery|41680|vascular catheterization|532600|intravascular peripheral ultrasound|
00.22|41|4230|vascular surgery|41680|vascular catheterization|532600|intravascular peripheral ultrasound|
00.23|41|4230|vascular surgery|41680|vascular catheterization|532600|intravascular peripheral ultrasound|
00.24|41|4000|cardiology|40000|cardiac catheterization|400400|intravascular coronary ultrasound|
00.25|41|4230|vascular surgery|41680|vascular catheterization|532600|intravascular peripheral ultrasound|
00.28|41|4230|vascular surgery|41680|vascular catheterization|532600|intravascular peripheral ultrasound|
00.29|41|4230|vascular surgery|41680|vascular catheterization|532600|intravascular peripheral ultrasound|
00.31|41|4180|radiology|41420|ct|504700|other ct|
00.32|41|4180|radiology|41430|mri|506400|mri guided procedure|
00.33|41|4180|radiology|41470|x-ray|512500|x-ray fluoroscopy|
00.50|41|4000|cardiology|40010|electrophysiology|402300|icd implant|
00.51|41|4000|cardiology|40010|electrophysiology|402300|icd implant|
00.52|41|4000|cardiology|40010|electrophysiology|402200|heart electrode procedure|
00.53|41|4000|cardiology|40010|electrophysiology|402300|icd implant|
00.54|41|4000|cardiology|40010|electrophysiology|402300|icd implant|
00.55|41|4230|vascular surgery|41680|vascular catheterization|533200|percutaneous transluminal peripheral artery stent placement|
00.61|41|4100|neuroscience|40940|neuro-vascular procedures|455500|occlusion/embolization - transcatheter|
00.62|41|4100|neuroscience|40940|neuro-vascular procedures|455500|occlusion/embolization - transcatheter|
00.63|41|4230|vascular surgery|41680|vascular catheterization|532900|percutaneous transluminal carotid artery stent placement|
00.64|41|4100|neuroscience|40940|neuro-vascular procedures|455500|occlusion/embolization - transcatheter|
00.65|41|4100|neuroscience|40940|neuro-vascular procedures|455500|occlusion/embolization - transcatheter|
0001|41|4230|vascular surgery|41670|medical vascular|532000|vascular ultrasound study|
0001t|41|4230|vascular surgery|41690|vascular surgery|534100|endovascular abdominal aortic aneurysm stent graft implant|
0002|41|4000|cardiology|40020|medical cardiology|403800|electrocardiogram|
0002t|41|4230|vascular surgery|41690|vascular surgery|534100|endovascular abdominal aortic aneurysm stent graft implant|
0003|41|4230|vascular surgery|41670|medical vascular|532000|vascular ultrasound study|
0003t|41|4070|gynecology|40630|general gynecology procedures|444900|cervicography|f
